제목,메모,URL,태그,댓글
야바톤 나고야역 메이테츠점,,https://www.google.com/maps/place/%EC%95%BC%EB%B0%94%ED%86%A4+%EB%82%98%EA%B3%A0%EC%95%BC%EC%97%AD+%EB%A9%94%EC%9D%B4%ED%85%8C%EC%B8%A0%EC%A0%90/data=!4m2!3m1!1s0x600376dde2555555:0x943ee0080f2d09b2,,
콘파루 이마이케점,,https://www.google.com/maps/place/%EC%BD%98%ED%8C%8C%EB%A3%A8+%EC%9D%B4%EB%A7%88%EC%9D%B4%EC%BC%80%EC%A0%90/data=!4m2!3m1!1s0x6003708cb80d7d41:0xfd583b476cc1add2,,
Osu Shotengai Shopping Street,,https://www.google.com/maps/place/Osu+Shotengai+Shopping+Street/data=!4m2!3m1!1s0x600370cca86bd965:0x8be395e24459aa4,,
Ifu-dodo,,https://www.google.com/maps/place/Ifu-dodo/data=!4m2!3m1!1s0x60037162e39bbbfb:0x9511615ed44db5fe,,
우나카와,,https://www.google.com/maps/place/%EC%9A%B0%EB%82%98%EC%B9%B4%EC%99%80/data=!4m2!3m1!1s0x60037091e4e9feb1:0xda4909bc6fa2789d,,
신라칸 메이토 본점,,https://www.google.com/maps/place/%EC%8B%A0%EB%9D%BC%EC%B9%B8+%EB%A9%94%EC%9D%B4%ED%86%A0+%EB%B3%B8%EC%A0%90/data=!4m2!3m1!1s0x600365042b9fb9d5:0xea06aec17ac6cad4,,
츄부국제공항,,https://www.google.com/maps/place/%EC%B8%84%EB%B6%80%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m2!3m1!1s0x60047d93edcc29cf:0x42987d286e2c0025,,
게로온천 오가와야,,https://www.google.com/maps/place/%EA%B2%8C%EB%A1%9C%EC%98%A8%EC%B2%9C+%EC%98%A4%EA%B0%80%EC%99%80%EC%95%BC/data=!4m2!3m1!1s0x6002dbb9bd879141:0x9d103ed97074b7c,,
지브리 파크,,https://www.google.com/maps/place/%EC%A7%80%EB%B8%8C%EB%A6%AC+%ED%8C%8C%ED%81%AC/data=!4m2!3m1!1s0x600367450203d0b3:0x36164b7a69c5128b,,
Hida Kotte Ushi,,https://www.google.com/maps/place/Hida+Kotte+Ushi/data=!4m2!3m1!1s0x6002bada3ed8331b:0xec7a2535306cd9b8,,
다카야마 옛마을,,https://www.google.com/maps/place/%EB%8B%A4%EC%B9%B4%EC%95%BC%EB%A7%88+%EC%98%9B%EB%A7%88%EC%9D%84/data=!4m2!3m1!1s0x6002bb8c40b33cb1:0x1b7d45c6cd92232e,,
사카구치야,,https://www.google.com/maps/place/%EC%82%AC%EC%B9%B4%EA%B5%AC%EC%B9%98%EC%95%BC/data=!4m2!3m1!1s0x6002bada4704336b:0x73afaea6e7bf3af9,,
시라카와고,,https://www.google.com/maps/place/%EC%8B%9C%EB%9D%BC%EC%B9%B4%EC%99%80%EA%B3%A0/data=!4m2!3m1!1s0x5ff871b0b6bf25e7:0xccc551bb9d5805f8,,
후나사카 양조장,,https://www.google.com/maps/place/%ED%9B%84%EB%82%98%EC%82%AC%EC%B9%B4+%EC%96%91%EC%A1%B0%EC%9E%A5/data=!4m2!3m1!1s0x6002badbba0a579f:0xd29ac2497563af25,,
